grid_id,cx,cy,max_rank,max_depth_cm,flood_ratio,exposure,priority
G04469,126.917798,37.417935,3.0,60.0,0.0782,0.6782,0.6782
G03960,126.92006,37.411629,2.0,40.0,0.2745,0.6745,0.6745
G02763,126.969814,37.396314,1.0,20.0,0.473,0.673,0.673
G03587,126.911013,37.407125,2.0,40.0,0.2724,0.6724,0.6724
G02833,126.966422,37.397215,1.0,20.0,0.4723,0.6723,0.6723
G02939,126.92119,37.399016,1.0,20.0,0.4722,0.6722,0.6722
G02285,126.924583,37.390908,1.0,20.0,0.4703,0.6703,0.6703
G02735,126.938152,37.396314,1.0,20.0,0.467,0.667,0.667
G02231,126.946068,37.390007,3.0,60.0,0.0665,0.6665,0.6665
G03476,126.950591,37.405323,2.0,40.0,0.2629,0.6629,0.6629
G01560,126.930237,37.381899,1.0,20.0,0.4622,0.6622,0.6622
G02762,126.968684,37.396314,1.0,20.0,0.4615,0.6615,0.6615
G02976,126.96303,37.399016,3.0,60.0,0.0555,0.6555,0.6555
G03422,126.972076,37.404422,1.0,20.0,0.4534,0.6534,0.6534
G01926,126.931368,37.386404,1.0,20.0,0.4516,0.6516,0.6516
G03588,126.912144,37.407125,1.0,20.0,0.4506,0.6506,0.6506
G04106,126.92006,37.413431,2.0,40.0,0.2491,0.6491,0.6491
G02955,126.939283,37.399016,1.0,20.0,0.4482,0.6482,0.6482
G03107,126.946068,37.400818,2.0,40.0,0.2482,0.6482,0.6482
G02877,126.933629,37.398116,1.0,20.0,0.448,0.648,0.648
G03812,126.917798,37.409827,3.0,60.0,0.0479,0.6479,0.6479
G00990,126.946068,37.374692,3.0,60.0,0.0446,0.6446,0.6446
G03955,126.914406,37.411629,2.0,40.0,0.243,0.643,0.643
G02767,126.974338,37.396314,1.0,20.0,0.4417,0.6417,0.6417
G04079,126.972076,37.41253,1.0,20.0,0.4415,0.6415,0.6415
G02301,126.942675,37.390908,2.0,40.0,0.2405,0.6405,0.6405
G02731,126.933629,37.396314,3.0,60.0,0.0399,0.6399,0.6399
G03091,126.927975,37.400818,3.0,60.0,0.0396,0.6396,0.6396
G02471,126.969814,37.39271,1.0,20.0,0.4393,0.6393,0.6393
G03951,126.909883,37.411629,2.0,40.0,0.2391,0.6391,0.6391
G03598,126.923452,37.407125,1.0,20.0,0.4385,0.6385,0.6385
G03347,126.969814,37.403521,1.0,20.0,0.4376,0.6376,0.6376
G02954,126.938152,37.399016,1.0,20.0,0.437,0.637,0.637
G02543,126.968684,37.393611,1.0,20.0,0.4351,0.6351,0.6351
G02957,126.941545,37.399016,1.0,20.0,0.435,0.635,0.635
G06132,126.899705,37.438656,3.0,60.0,0.0347,0.6347,0.6347
G01996,126.927975,37.387305,1.0,20.0,0.4345,0.6345,0.6345
G03348,126.970945,37.403521,1.0,20.0,0.4344,0.6344,0.6344
G02788,126.915536,37.397215,2.0,40.0,0.2338,0.6338,0.6338
G02199,126.909883,37.390007,2.0,40.0,0.2333,0.6333,0.6333
G03802,126.90649,37.409827,2.0,40.0,0.2331,0.6331,0.6331
G02099,126.961899,37.388206,1.0,20.0,0.4312,0.6312,0.6312
G02540,126.965291,37.393611,1.0,20.0,0.4301,0.6301,0.6301
G02686,126.965291,37.395413,1.0,20.0,0.4295,0.6295,0.6295
G03642,126.973207,37.407125,1.0,20.0,0.4286,0.6286,0.6286
G03438,126.907621,37.405323,3.0,60.0,0.0261,0.6261,0.6261
G04246,126.913275,37.415233,3.0,60.0,0.0253,0.6253,0.6253
G01754,126.901967,37.384602,2.0,40.0,0.2236,0.6236,0.6236
